"code_insee","commune","code_region","region","code_departement","departement","pop_tot","pop_cl","pop_0_14","pop_15_29","pop_18_24","pop_75p","pop_femmes","pop_act_15p","pop_chom","pop_agric","pop_indep","pop_cadres","pop_interm","pop_empl","pop_ouvr","pop_scol_18_24","pop_non_scol_15p","pop_dipl_aucun","pop_dipl_bepc","pop_dipl_capbep","pop_dipl_bac","pop_dipl_sup2","pop_dipl_sup34","pop_dipl_sup","log_rp","log_proprio","log_loc","log_hlm","log_sec","log_maison","log_appart","age_0_14","age_15_29","age_75p","femmes","chom","agric","indep","cadres","interm","empl","ouvr","etud","dipl_aucun","dipl_bepc","dipl_capbep","dipl_bac","dipl_sup2","dipl_sup34","dipl_sup","resid_sec","proprio","locataire","hlm","maison","appart"
"13001","Aix-en-Provence","93","Provence-Alpes-Côte d'Azur","13","Bouches-du-Rhône",143097,"100 001-200 000",19369.6265791307,37295.734139752,21953.9508377185,13747.6562120209,75040.2288095946,66203.1430053889,8394.16900381568,164.636321203504,4187.30520361997,19230.2632304173,17434.7399712681,16803.3486227092,7414.45613941322,16700.7559943704,99159.5256055375,14555.9330100833,4946.77935874065,14316.1958496425,15655.048163945,11490.1652458717,13669.3360164924,24526.0679607619,71388.1608111107,28002.1369078915,40943.6429940275,9930.93073350725,4986.28462832722,16000.3759109511,54687.6825572886,13.5360116418448,26.0632536948727,9.60722881124055,52.4401132166255,12.679411615144,0.248683542396322,6.32493415498283,29.0473569039645,26.3352148852645,25.3814967989381,11.1995530768225,76.0717563677754,14.6793088421859,4.98870817355383,14.4375396737911,15.7877400767544,11.5875556843427,13.7851970680758,24.7339504812962,6.52873431635082,39.2251832653088,57.3535478836081,13.9111732543215,22.4132065165361,76.606095374819
"13002","Allauch","93","Provence-Alpes-Côte d'Azur","13","Bouches-du-Rhône",20860,"10 001-50 000",3357.28129822666,2910.57296872098,1370.75077227723,2245.82868078215,10769.1010319117,9755.81397774035,923.037149578681,10.0115237373796,730.542355579077,2043.65816795107,3109.86844105877,2560.30764081494,1224.33908342343,819.031125315391,15748.1472716444,2658.72010718453,813.335393988316,3421.89490944605,2766.23140493774,2189.64855793899,1903.42893023459,1994.88796791422,8485.17361308025,6153.03441249672,2116.05956779271,534.429641691747,354.508625512454,6261.23623823154,2167.40685092021,16.0943494641738,13.9528905499568,10.7661969356766,51.625604179826,9.46140580052835,0.10262110122459,7.48827680853634,20.9481051259694,31.8770781008586,26.2439161576547,12.5498403948351,59.7505499817982,16.8827485628848,5.16464178267358,21.7288729297535,17.5654402846392,13.9041661229674,12.0866848487113,12.6674454683704,4.01042272724152,72.5151268915884,24.9383178740234,6.29839371663417,73.7903138314057,25.5434590940963
"13003","Alleins","93","Provence-Alpes-Côte d'Azur","13","Bouches-du-Rhône",2516,"2 000-3 000",481.865456743232,361.136384757846,152.676039315836,169.669686753554,1244.46911074087,1246.27108646442,130.834608164496,4.72812737055299,141.332857319469,212.623611564856,309.296180048957,319.483970581727,232.322391019784,74.7810066330643,1839.66261769795,312.87234420925,99.5610182052214,456.783058363548,328.467013480297,246.726355705005,191.454990394728,203.797837339898,1063.99999999994,750.922971873325,290.306167416819,88.6469933898291,36.5699999999999,920.447598352814,136.304732976589,19.1520451805736,14.3535923989605,6.74362824934633,49.4622063092556,10.498085816599,0.379381935592066,11.3404586573873,17.0607834743285,24.8177289361986,25.6351907744309,18.6414010196502,48.980185082197,17.0070501623151,5.41191723131312,24.8297189913627,17.854741968466,13.4115002028874,10.4070707613934,11.078000682262,3.3228236277567,70.5754672813315,27.2844142309056,8.33148434114982,86.5082329279009,12.8105952045674
"13004","Arles","93","Provence-Alpes-Côte d'Azur","13","Bouches-du-Rhône",51031,"50 001-100 000",8178.97463740889,7690.20464019811,3459.72417160384,5884.24148977422,26938.6463286204,20016.0775481276,3125.20729923922,282.206742583401,1534.41920630799,2126.59086413331,4781.9705973576,6207.58366732492,4812.13398023306,1681.51499366593,38996.833889798,10484.4414006424,2297.19238343645,9369.09646960835,6530.07544714187,3795.18524038511,3412.2549119726,3108.58803661124,23988.9204732698,12146.0732819123,11087.2312752274,5152.01136057204,1010.33976368381,13865.8493147567,10000.1678671176,16.0274629880051,15.0696726307501,11.5307195425804,52.788787851738,15.6134851682345,1.40990032589977,7.66593356075165,10.6244135946218,23.8906478347698,31.012987696511,24.0413436082196,48.6025737966973,26.8853656947398,5.89071510248277,24.0252747084153,16.7451426072059,9.73203427516707,8.75008192104868,7.97138569094062,4.04147864419739,50.6320127887636,46.2181334403172,21.4766286224209,57.8010558257802,41.6866106095125
"13005","Aubagne","93","Provence-Alpes-Côte d'Azur","13","Bouches-du-Rhône",47208,"10 001-50 000",8537.21285118285,8009.17798894656,3608.79955441017,4927.63542950956,24849.4745226007,20941.6519070802,3000.30217298301,47.5464272079693,1107.21984940059,2909.17603698102,5413.37501799618,7149.4823600154,3984.94674435916,1614.75030396616,34819.1109373086,7658.15080205228,2233.13426886267,8430.06201697267,6353.72338455775,3988.77496750503,2995.462606658,3159.8028907002,19977.3234721526,9590.00725161389,9870.52710756232,5041.58347359719,335.064190657894,7746.17519574749,12159.1111772492,18.084250235517,16.9657218881261,10.4381363953346,52.6382700444855,14.3269603863897,0.227042391015459,5.28716576091234,13.8918173689892,25.8497994428317,34.1400114553438,19.0288080522047,44.7448044597777,21.9941020775651,6.41353041116817,24.2110202990274,18.2478047644512,11.4557059618402,8.60292674345217,9.07490974249569,1.64955590755761,48.0044649874238,49.4086563764227,25.2365312131273,38.7748399155937,60.864565737239
"13007","Auriol","93","Provence-Alpes-Côte d'Azur","13","Bouches-du-Rhône",12771,"10 001-50 000",2178.08900593938,2004.27625023449,881.736184513646,961.269603940631,6322.66631142362,6166.81868322745,568.559693486426,30.1204151897813,542.7138936826,1154.12922507997,1769.58031022842,1689.65698085469,936.902175604636,430.477098793641,9583.84263671934,1597.98578964403,444.878517871207,2177.12243189648,1698.40380720412,1367.68571580439,1139.77354619519,1157.99282810393,5198.97113510382,3492.26050447736,1549.35997939472,245.353663143998,232.427466050497,3696.93885356675,1486.54874050709,17.0549605037928,15.6939648440568,7.5269720768979,49.5079971139583,9.21965964449057,0.488427124859419,8.80054889822975,18.7151477019906,28.6951895479161,27.3991675067443,15.1926337343569,48.8215303346189,16.6737482053549,4.64196392547921,22.7165920228604,17.7215327043966,14.2707447069745,11.8926571459791,12.0827612889554,4.27932993172513,67.1721464444642,29.8012806598085,4.71927342483886,71.1090474922001,28.5931331772513
"13010","Barbentane","93","Provence-Alpes-Côte d'Azur","13","Bouches-du-Rhône",4156,"3 001-5 000",692.084740559529,541.853929518369,239.611876047194,485.436734968971,2192.05233928881,1903.76359842825,214.662773360804,44.3003053509495,221.501526754747,290.413112856224,462.692078109917,427.148856815391,359.324698957702,104.975069037758,3204.3658214347,607.754940351905,143.72987958308,798.002957979552,575.903969562343,410.531688773495,333.728966977153,334.713418207174,1908.86646086561,1237.45519613652,600.530776167567,49.2225615010549,97.9975300340888,1508.17928439232,372.122564947975,16.6526645947914,13.0378712588635,11.6803834208126,52.7442815035806,11.2757053206622,2.32698562928317,11.6349281464158,15.2546835697452,24.3040721280687,22.4370744964367,18.8744389930746,43.8104616388388,18.9664655728912,4.48543916620379,24.9036159555047,17.9724788508851,12.8116361130605,10.4148210776924,10.4455432637623,4.88311766410017,64.826703255888,31.4600726912686,2.57862781447446,79.0091562354974,19.4944262774269
"13014","Berre-l'Étang","93","Provence-Alpes-Côte d'Azur","13","Bouches-du-Rhône",13520,"10 001-50 000",2493.01370467562,2319.7062102892,1076.25827868863,1292.35911456853,6666.43896670267,6064.15585730912,1014.01750690648,72.7308374174843,340.030792138281,257.689116350071,1270.34745083024,2041.83106910692,1996.80677601015,409.369384629004,10082.5290727695,3648.5349572451,505.405156119783,2792.92297079866,1598.46995622877,829.188645594391,448.791923910001,259.215462872821,5333.01480790848,2485.50670598211,2609.84996267643,1165.67660984443,77.4599383407994,2720.20257658746,2529.89699581302,18.43945047837,17.1575903127899,9.55886919059566,49.3079805229487,16.7214948092781,1.19935633464667,5.60722382701365,4.24938148711133,20.9484630791455,33.67049127944,32.9280253178751,38.0363517507899,36.1867040591921,5.01268235848445,27.70061906731,15.8538591328822,8.22401442743003,4.45118403002755,2.57093692467399,1.43166620257302,46.6060342134487,48.9376095263454,21.8577418558039,51.0068446191748,47.4384018597016
"13015","Bouc-Bel-Air","93","Provence-Alpes-Côte d'Azur","13","Bouches-du-Rhône",14784,"10 001-50 000",2419.65395517727,2054.78270813571,845.171705060829,1645.20555209881,7657.08651124941,6774.63658599025,574.137394386036,3.53609369458784,482.843257868159,2117.16997329724,1934.34612987035,1519.17827349009,686.437412031117,498.564889837787,11145.2123682987,1828.05385156113,438.33597970822,2073.98123075673,1799.07319907591,1386.4971534838,1354.88587412937,2264.38507958356,5821.60946554168,4121.83373516126,1543.7096735014,532.986636354351,86.5850418062868,4521.40304546445,1096.23974573506,16.3667069478982,13.8986925604418,11.1282843080277,51.7930635230615,8.47480727709196,0.0521960646848626,7.12722006176191,31.2514176432059,28.5527659722814,22.4244984097259,10.1324610304654,58.9897753145799,16.4021446263404,3.93295313918842,18.6087188132542,16.1421168087669,12.4402937123705,12.1566626938684,20.3171102062115,1.46550763856203,70.8023057808763,26.5168882014274,9.15531417057634,77.6658597974804,18.8305270599779
"13016","La Bouilladisse","93","Provence-Alpes-Côte d'Azur","13","Bouches-du-Rhône",6254,"5 001-10 000",1106,906,384,582,3236,2769,248,0,200,530,840,695,375,192,4661,711,313,1164,841,593,479,560,2428,1902,450,43,99,2055,357,17.6846818036457,14.486728493764,9.30604413175568,51.7428845538855,8.95630191404839,0,7.22282412423258,19.1404839292163,30.3358613217768,25.0993138317082,13.5427952329361,50,15.2542372881356,6.71529714653508,24.9731817206608,18.0433383394121,12.7225917185153,10.2767646427805,12.0145891439605,3.91768895924021,78.33607907743,18.5337726523888,1.77100494233937,84.6375617792422,14.7034596375618
